"gener_aliceai_official" "gener_chatgpt5_official" "gener_chatgpt5_peasants1" "gener_chatgpt5_peasants2" "gener_gigachat_official" "gener_gigachat_peasants" "gener_saiga_official" "gener_saiga_peasants" "gener_yandex.api_official" "gener_yandex.api_peasants" "natur_gogol_nos" "natur_gogol_shinel" "natur_goncharov_istoriya1" "natur_goncharov_istoriya2" "natur_goncharov_istoriya3" "natur_turgenev_zapiski1" "natur_turgenev_zapiski2" "natur_turgenev_zapiski3" "natur_turgenev_zapiski4"
"это" 0.220507166482911 0.490453669644421 0.389597740333106 0.428734756097561 0.164319248826291 0.146616251253955 0.220684120774401 0.207277752187932 0.237029233605478 0.247910468904944 0.685995340409009 0.41407867494824 0.479616306954436 0.822222222222222 0.768701239100505 0.239858170820732 0.274231678486998 0.38199749965273 0.15305146355462
"был" 0.312385152517457 0.525486074619023 0.311678192266485 0.238185975609756 0.242566510172144 0.200632764873833 0.290901795566255 0.184246890833717 0.948116934421912 0.559569344099731 0.647165415480197 0.374642610667455 0.139888089528377 0.111111111111111 0.0688389169343736 0.219000938575451 0.264775413711584 0.284761772468398 0.0956571647216377
"было" 0.294009555310548 0.840777719390436 0.62335638453297 0.619283536585366 0.211267605633803 0.192916120070993 0.180559735179055 0.253339474896361 0.149240628566412 0.276243093922652 0.349469324359306 0.561963916001183 0.249800159872102 0.133333333333333 0.206516750803121 0.281572635311294 0.25531914893617 0.375052090568134 0.172182896498948
"она" 0.23888276368982 0.560518479593624 0.29219830524983 0.533536585365854 0.164319248826291 0.28551585770507 0.200621927976728 0.34546292031322 0.166798349574225 0.23374415639609 0.0776598498576236 0.138026224982747 0.769384492406075 0.2 0.757228086278109 0.19814370633017 0.40661938534279 0.326434226975969 0.0573942988329826
"же" 0.0918779860345461 0.192678227360308 0.262978474724847 0.181021341463415 0.195618153364632 0.138899606451115 0.130404253184873 0.138185168125288 0.0877886050390659 0.0849978750531237 0.634222107170593 0.571822932071379 0.38968824940048 0.6 0.711335474988527 0.344144332047137 0.359338061465721 0.430615363244895 0.373062942414387
"от" 0.183755972069092 0.315291644771414 0.282458361741502 0.257240853658537 0.446009389671362 0.300949147310749 0.36111947035811 0.322432058959005 0.149240628566412 0.30457571894036 0.142376391405643 0.187321305333728 0.38968824940048 0.366666666666667 0.275355667737494 0.250286786943373 0.368794326241135 0.284761772468398 0.239142911804094
"жизнь" 0.532892319000367 0.140129619898406 0.204538813674881 0.0952743902439024 0.571205007824726 0.517015201790262 0.260808506369746 0.218793182865039 0.895443771398473 1.04830712565519 0 0.0394360642807848 0.0699440447641887 0.122222222222222 0.149150986691143 0.0312858483679216 0.00945626477541371 0 0
"ты" 0 0.0175162024873008 0.175318983149898 0.266768292682927 0.0938967136150235 0.0771664480283973 0.0100310963988364 0.0690925840626439 0 0 0.155319699715247 0.0591540964211772 0.529576338928857 0.977777777777778 0.7801743919229 0.344144332047137 0.283687943262411 0.604250590359772 0.545245838913335
"иван" 0.349136346931275 0.0175162024873008 0.467517288399727 0.0190548780487805 0.516431924882629 0.331815726522108 0.290901795566255 0.322432058959005 0.763760863839874 0.963309250602068 0.465959099145742 0.0197180321403924 0 0.0666666666666667 0.0114731528223956 0 0 0.0138908181691902 0.0191314329443275
"была" 0.330760749724366 0.332807847258714 0.33115807928314 0.181021341463415 0.203442879499218 0.246932633690871 0.210653024375564 0.149700598802395 0.886664910894566 0.750814562969259 0.168263008024851 0.216898353544316 0.0799360511590727 0.0222222222222222 0.0917852225791648 0.114714777349046 0.0945626477541371 0.0902903180997361 0.0382628658886551
"вы" 0 0.402872657207917 0.0389597740333106 0.190548780487805 0.101721439749609 0.0154332896056795 0.0300932891965092 0 0 0 0.453015790836138 0.147885241052943 0.359712230215827 0.377777777777778 0.871959614502065 0.260715403066013 0.690307328605201 0.201416863453257 0.679165869523627
"только" 0.312385152517457 0.315291644771414 0.389597740333106 0.40015243902439 0.0391236306729265 0.0540165136198781 0.170528638780219 0.126669737448181 0.131682907558599 0.141663125088539 0.401242557597722 0.443655723158829 0.329736211031175 0.255555555555556 0.344194584671868 0.156429241839608 0.293144208037825 0.194471454368662 0.181748612971112
"ему" 0.404263138552003 0.437905062182519 0.155839096133242 0.0952743902439024 0.109546165884194 0.0385832240141986 0.170528638780219 0.0806080147397513 0.333596699148451 0.0779147187986967 0.336526016049702 0.542245883860791 0.339728217426059 0.344444444444444 0.172097292335934 0.250286786943373 0.283687943262411 0.270870954299208 0.191314329443275
"они" 0.183755972069092 0.210194429847609 0.0876594915749489 0.276295731707317 0.0938967136150235 0.138899606451115 0.190590831577891 0.264854905573468 0.351154420156264 1.29621759456014 0.0129433083096039 0.0985901607019619 0.0899280575539568 0.133333333333333 0.126204681046352 0.0417144644905621 0.0567375886524823 0.180580636199472 0.0382628658886551
"все" 0.110253583241455 0.0350324049746015 0.0779195480666212 0.219131097560976 0.0391236306729265 0.0771664480283973 0.150466445982546 0.253339474896361 0.114125186550786 0.339991500212495 0.336526016049702 0.512668835650202 0.499600319744205 0.533333333333333 0.562184488297384 0.146000625716967 0.132387706855792 0.166689818030282 0.0573942988329826
"вот" 0 0.105097214923805 0.116879322099932 0.161966463414634 0.109546165884194 0.084883092831237 0 0.0460617227084293 0 0.0283326250177079 0.168263008024851 0.197180321403924 0.4396482813749 0.344444444444444 0.413033501606241 0.219000938575451 0.671394799054373 0.548687317683011 0.440022957719533
"для" 0.220507166482911 0.280259239796812 0.16557903964157 0.0762195121951219 0.109546165884194 0.108033027239756 0.511585916340656 0.460617227084293 0.500395048722676 0.361240968975776 0.181206316334455 0.246475401754905 0.21982414068745 0.155555555555556 0.0917852225791648 0.156429241839608 0.066193853427896 0.111126545353521 0.0765257317773101
"когда" 0.202131569276001 0.280259239796812 0.516217005941366 0.304878048780488 0.258215962441315 0.246932633690871 0.200621927976728 0.414555504375864 0.114125186550786 0.254993625159371 0.168263008024851 0.335206546386671 0.129896083133493 0.166666666666667 0.298301973382285 0.0938575451037647 0.0189125295508274 0.0972357271843312 0.00956571647216376
"сказал" 0 0.47293746715712 0.399337683841434 0.809832317073171 0.0312989045383412 0.0617331584227178 0.0100310963988364 0.0230308613542146 0 0 0.478902407455346 0.28591146603569 0.259792166266986 0.533333333333333 0.447452960073428 0.104286161226405 0.132387706855792 0.125017363522711 0.0860914482494739
"где" 0.330760749724366 0.367840252233316 0.409077627349761 0.181021341463415 0.117370892018779 0.100316382436916 0.270839602768583 0.253339474896361 0.351154420156264 0.219577843887236 0.194149624644059 0.177462289263531 0.109912070343725 0.155555555555556 0.206516750803121 0.187715090207529 0.0283687943262411 0.166689818030282 0.105222881193801
"мне" 0 0.0525486074619023 0.029219830524983 0.190548780487805 0.0234741784037559 0.0308665792113589 0 0.034546292031322 0 0 0.297696091120891 0.0295770482105886 0.259792166266986 0.366666666666667 0.378614043139055 0.615288351235791 0.643026004728132 0.270870954299208 0.50698297302468
"бы" 0.0183755972069092 0.0525486074619023 0.126619265608259 0.228658536585366 0.156494522691706 0.0462998688170384 0.0401243855953456 0.0575771533855366 0.00877886050390659 0.0354157812721349 0.478902407455346 0.374642610667455 0.419664268585132 0.4 0.321248279027077 0.19814370633017 0.293144208037825 0.180580636199472 0.30610292710924
"меня" 0 0 0.0194798870166553 0.457317073170732 0.0156494522691706 0.0385832240141986 0 0 0 0 0.168263008024851 0.0591540964211772 0.309752198241407 0.311111111111111 0.252409362092703 0.438001877150902 0.643026004728132 0.312543408806779 0.526114405969007
"всё" 0.165380374862183 0.45542126466982 0.603876497516314 0.0952743902439024 0.203442879499218 0.115749672042596 0.0702176747918548 0.103638876093966 0.184356070582038 0.134579968834112 0.0129433083096039 0.049295080350981 0 0 0 0.292001251433935 0.33096926713948 0.388942908737325 0.325234360053568
"петрович" 0.771775082690187 0.560518479593624 0.0389597740333106 0 0.727699530516432 0.115749672042596 0.230715217173237 0.0690925840626439 0.658414537792994 0.120413656325259 0 0.354924578527063 0 0 0 0.0208572322452811 0.0472813238770686 0 0
"их" 0.202131569276001 0.140129619898406 0.0973994350832765 0.114329268292683 0.0625978090766823 0.162049540859634 0.230715217173237 0.218793182865039 0.166798349574225 0.587901969117439 0.0129433083096039 0.0985901607019619 0.189848121502798 0.144444444444444 0.126204681046352 0.187715090207529 0.189125295508274 0.201416863453257 0.0765257317773101
"глава" 1.43329658213892 0 0 0 0.0391236306729265 0.308665792113589 0.561741398334838 0.541225241824044 0.158019489070319 0.672899844170562 0 0 0 0 0 0 0 0 0
"него" 0.128629180448365 0.420388859695218 0.185058926658225 0.428734756097561 0.0860719874804382 0.0617331584227178 0.100310963988364 0.0115154306771073 0.114125186550786 0.0212494687632809 0.271809474501683 0.305629498176082 0.26978417266187 0.211111111111111 0.126204681046352 0.229429554698092 0.189125295508274 0.187526045284067 0.191314329443275
"до" 0.202131569276001 0.0875810124365038 0.194798870166553 0.0857469512195122 0.234741784037559 0.146616251253955 0.180559735179055 0.149700598802395 0.0526731630234396 0.191245218869528 0.116489774786435 0.147885241052943 0.209832134292566 0.177777777777778 0.206516750803121 0.208572322452811 0.151300236406619 0.291707181552993 0.172182896498948
"уже" 0 0.245226834822211 0.253238531216519 0.257240853658537 0.211267605633803 0.146616251253955 0.130404253184873 0.195762321510825 0.0175577210078132 0.134579968834112 0.323582707740098 0.453514739229025 0.0599520383693046 0.0555555555555556 0.0344194584671868 0.0834289289811242 0.0945626477541371 0.215307681622448 0.181748612971112
"чтобы" 0.0367511944138184 0.210194429847609 0.224018700691536 0.152439024390244 0.0860719874804382 0.138899606451115 0.1103420603872 0.184246890833717 0.289702396628918 0.60915143788072 0.349469324359306 0.325347530316474 0.0299760191846523 0.0222222222222222 0.0458926112895824 0.0104286161226405 0.00945626477541371 0.0277816363383803 0.0191314329443275
"теперь" 0.275633958103638 0.122613417411105 0.146099152624915 0.0952743902439024 0.320813771517997 0.177482830465314 0.200621927976728 0.126669737448181 0.0263365815117198 0.0354157812721349 0.194149624644059 0.118308192842354 0.159872102318145 0.111111111111111 0.18357044515833 0.208572322452811 0.359338061465721 0.083344909015141 0.143485747082456
"еще" 0 0 0 0.161966463414634 0.0625978090766823 0.0617331584227178 0.0902798675895275 0.0690925840626439 0 0 0.36241263266891 0.384501626737652 0.409672262190248 0.333333333333333 0.309775126204681 0.166857857962248 0.122931442080378 0.243089317960828 0.200880045915439
"или" 0.0918779860345461 0.122613417411105 0.0876594915749489 0.114329268292683 0.0782472613458529 0.0540165136198781 0.220684120774401 0.195762321510825 0.184356070582038 0.0637484062898428 0.349469324359306 0.236616385684709 0.249800159872102 0.288888888888889 0.39008719596145 0.0938575451037647 0.132387706855792 0.0763994999305459 0.0860914482494739
"кто" 0.0367511944138184 0.332807847258714 0.506477062433038 0.323932926829268 0.0938967136150235 0.162049540859634 0.0702176747918548 0.115154306771073 0.0790097445351593 0.0920810313075506 0.103546466476831 0.177462289263531 0.0899280575539568 0.144444444444444 0.160624139513538 0.104286161226405 0.104018912529551 0.125017363522711 0.124354314138129
"ли" 0 0.0875810124365038 0.116879322099932 0.0476371951219512 0.0625978090766823 0.0540165136198781 0.0401243855953456 0.0230308613542146 0.0175577210078132 0 0.220036241263267 0.256334417825101 0.519584332533973 0.4 0.355667737494263 0.156429241839608 0.226950354609929 0.104181136268926 0.210445762387603
"нет" 0 0.0525486074619023 0.0584396610499659 0.104801829268293 0 0.00771664480283973 0 0 0 0 0.42712917421693 0.138026224982747 0.289768185451639 0.5 0.447452960073428 0.114714777349046 0.264775413711584 0.208362272537852 0.315668643581404
"человек" 0.0183755972069092 0.332807847258714 0.204538813674881 0.181021341463415 0.13302034428795 0.084883092831237 0.050155481994182 0.0460617227084293 0.0351154420156264 0.0212494687632809 0.116489774786435 0.187321305333728 0.0999200639488409 0.133333333333333 0.114731528223956 0.302429867556575 0.340425531914894 0.201416863453257 0.22957719533193
"ну" 0 0.0175162024873008 0.0389597740333106 0.0476371951219512 0 0.0154332896056795 0 0.0115154306771073 0 0 0.129433083096039 0.049295080350981 0.319744204636291 0.211111111111111 0.298301973382285 0.292001251433935 0.491725768321513 0.375052090568134 0.401760091830878
"даже" 0.220507166482911 0.122613417411105 0.0876594915749489 0.0571646341463415 0.172143974960876 0.0462998688170384 0.120373156786037 0.115154306771073 0.184356070582038 0.0920810313075506 0.245922857882475 0.759144237405107 0.0999200639488409 0.0666666666666667 0.0458926112895824 0.19814370633017 0.0851063829787234 0.104181136268926 0.0286971494164913
"день" 0.183755972069092 0.070064809949203 0.0973994350832765 0.133384146341463 0.352112676056338 0.216066054479512 0.170528638780219 0.253339474896361 0.158019489070319 0.311658875194787 0.0776598498576236 0.138026224982747 0.0799360511590727 0.0444444444444444 0.057365764111978 0.114714777349046 0.0945626477541371 0.0277816363383803 0.0573942988329826
"мы" 0 0.070064809949203 0.116879322099932 0.257240853658537 0.0391236306729265 0.0617331584227178 0.0100310963988364 0.0230308613542146 0 0.00708315625442697 0.0258866166192079 0.0394360642807848 0.0999200639488409 0.144444444444444 0.126204681046352 0.469287725518824 0.33096926713948 0.43756077232949 0.353931509470059
"после" 0.275633958103638 0.0525486074619023 0.0584396610499659 0.0666920731707317 0.305164319248826 0.308665792113589 0.290901795566255 0.356978350990327 0.237029233605478 0.141663125088539 0.142376391405643 0.108449176772158 0.0299760191846523 0.0555555555555556 0.0917852225791648 0.0730003128584837 0.0756501182033097 0.0416724545075705 0.0286971494164913
"себя" 0.0735023888276369 0.22771063233491 0.0681796045582936 0.104801829268293 0.226917057902973 0.123466316845436 0.0802487711906911 0.103638876093966 0.298481257132824 0.113330500070832 0.207092932953663 0.118308192842354 0.159872102318145 0.166666666666667 0.137677833868747 0.146000625716967 0.236406619385343 0.0625086817613557 0.105222881193801
"ее" 0 0 0 0.133384146341463 0.00782472613458529 0 0.0802487711906911 0.0460617227084293 0 0 0.155319699715247 0.226757369614512 0.359712230215827 0.266666666666667 0.424506654428637 0.260715403066013 0.33096926713948 0.277816363383803 0.124354314138129
"жизни" 0.220507166482911 0.0525486074619023 0.0584396610499659 0.0666920731707317 0.242566510172144 0.239215988888031 0.270839602768583 0.29940119760479 0.38626986217189 0.318742031449214 0.0129433083096039 0.0690131124913734 0.0399680255795364 0.0444444444444444 0.0917852225791648 0.0208572322452811 0 0.0138908181691902 0
"александр" 0.23888276368982 0 0 0 0.140845070422535 0.00771664480283973 0.050155481994182 0.0460617227084293 0.210692652093758 0 0 0 0.239808153477218 0.711111111111111 1.12436897659477 0.0104286161226405 0.066193853427896 0 0
"ни" 0 0.070064809949203 0.029219830524983 0.0952743902439024 0.0704225352112676 0.0617331584227178 0.0401243855953456 0 0.0351154420156264 0.0212494687632809 0.349469324359306 0.246475401754905 0.21982414068745 0.277777777777778 0.28682882055989 0.239858170820732 0.293144208037825 0.131962772607307 0.162617180026784
"были" 0.110253583241455 0.262743037309511 0.136359209116587 0.171493902439024 0.172143974960876 0.154332896056795 0.100310963988364 0.161216029479503 0.210692652093758 0.424989375265618 0.103546466476831 0.138026224982747 0.0299760191846523 0.0111111111111111 0.0803120697567692 0.0208572322452811 0.0472813238770686 0.0902903180997361 0.00956571647216376
"деревне" 0 0 0.262978474724847 0.190548780487805 0 0.115749672042596 0 0.17273146015661 0 1.11205553194503 0 0.00985901607019619 0.0299760191846523 0.0222222222222222 0.0229463056447912 0.0104286161226405 0 0.0416724545075705 0.0191314329443275
"быть" 0.23888276368982 0.140129619898406 0.0584396610499659 0.152439024390244 0.0312989045383412 0 0.120373156786037 0.0460617227084293 0.043894302519533 0.0637484062898428 0.220036241263267 0.177462289263531 0.199840127897682 0.244444444444444 0.332721431849472 0.0730003128584837 0.160756501182033 0.125017363522711 0.0956571647216377
"если" 0.0367511944138184 0.280259239796812 0.370117853316451 0.238185975609756 0.0469483568075117 0.0308665792113589 0.0200621927976728 0.0230308613542146 0.043894302519533 0.0708315625442697 0.310639399430494 0.20703933747412 0.199840127897682 0.222222222222222 0.229463056447912 0.0417144644905621 0.0567375886524823 0.0277816363383803 0.0478285823608188
"без" 0.0183755972069092 0.332807847258714 0.155839096133242 0.142911585365854 0.0156494522691706 0.0540165136198781 0.0902798675895275 0.0806080147397513 0.0175577210078132 0.0354157812721349 0.181206316334455 0.167603273193335 0.21982414068745 0.288888888888889 0.126204681046352 0.125143393471686 0.104018912529551 0.0902903180997361 0.162617180026784
"будто" 0 0.315291644771414 0.584396610499659 0.257240853658537 0.0938967136150235 0.0694498032255575 0.0200621927976728 0.0690925840626439 0 0.0141663125088539 0.155319699715247 0.147885241052943 0.139888089528377 0.133333333333333 0.206516750803121 0.0208572322452811 0.0189125295508274 0.0972357271843312 0.00956571647216376
"есть" 0 0.157645822385707 0.116879322099932 0.0857469512195122 0.0469483568075117 0.0231499344085192 0 0.034546292031322 0.043894302519533 0.00708315625442697 0.271809474501683 0.0985901607019619 0.189848121502798 0.344444444444444 0.240936209270307 0.135572009594327 0.132387706855792 0.256980136130018 0.114788597665965
"под" 0.0367511944138184 0.0175162024873008 0.126619265608259 0.114329268292683 0.054773082942097 0.0231499344085192 0.170528638780219 0.207277752187932 0 0.0708315625442697 0.142376391405643 0.108449176772158 0.0699440447641887 0.0888888888888889 0.057365764111978 0.19814370633017 0.170212765957447 0.312543408806779 0.143485747082456
"там" 0.0918779860345461 0.122613417411105 0.16557903964157 0.152439024390244 0.0938967136150235 0.0540165136198781 0.0200621927976728 0.0460617227084293 0.00877886050390659 0.00708315625442697 0.0906031581672275 0.049295080350981 0.359712230215827 0.4 0.160624139513538 0.0521430806132026 0.0851063829787234 0.180580636199472 0.114788597665965
"время" 0.110253583241455 0.105097214923805 0.116879322099932 0.0476371951219512 0.0704225352112676 0.169766185662474 0.120373156786037 0.253339474896361 0.166798349574225 0.240827312650517 0.129433083096039 0.256334417825101 0.0499600319744205 0.1 0.0458926112895824 0.0521430806132026 0.066193853427896 0.0486178635921656 0.00956571647216376
"своей" 0.147004777655274 0.070064809949203 0.0194798870166553 0.0571646341463415 0.211267605633803 0.169766185662474 0.1103420603872 0.149700598802395 0.35993328066017 0.198328375123955 0.0129433083096039 0.0788721285615696 0.0699440447641887 0 0.0688389169343736 0.0834289289811242 0.0945626477541371 0.0902903180997361 0.0191314329443275
"однажды" 0.275633958103638 0.0525486074619023 0.107139378591604 0.038109756097561 0.446009389671362 0.27008256809939 0.160497542381382 0.138185168125288 0.228250373101571 0.134579968834112 0 0 0.0199840127897682 0.0444444444444444 0.0344194584671868 0.0104286161226405 0.0378250591016548 0.0138908181691902 0.00956571647216376
"уж" 0 0 0 0.0571646341463415 0.00782472613458529 0.0231499344085192 0 0.0115154306771073 0.0175577210078132 0 0.168263008024851 0.315488514246278 0.129896083133493 0.211111111111111 0.344194584671868 0.239858170820732 0.179669030732861 0.194471454368662 0.210445762387603
"каждый" 0.441014332965821 0 0.0681796045582936 0.0190548780487805 0.258215962441315 0.254649278493711 0.260808506369746 0.287885766927683 0.122904047054692 0.23374415639609 0.0517732332384157 0 0.00999200639488409 0.0333333333333333 0 0.0208572322452811 0 0.0138908181691902 0.00956571647216376
"ведь" 0.0918779860345461 0 0 0.0666920731707317 0.156494522691706 0.0231499344085192 0.0802487711906911 0.103638876093966 0.0175577210078132 0 0.0647165415480197 0.0591540964211772 0.189848121502798 0.144444444444444 0.18357044515833 0.0938575451037647 0.293144208037825 0.173635227114877 0.258274344748422
"здесь" 0.275633958103638 0.122613417411105 0.029219830524983 0.0571646341463415 0.0938967136150235 0.169766185662474 0.130404253184873 0.161216029479503 0.0175577210078132 0.177078906360674 0.103546466476831 0.049295080350981 0.129896083133493 0.2 0.0458926112895824 0.0417144644905621 0.0378250591016548 0.0763994999305459 0.143485747082456
"вместе" 0.0551267916207277 0.0525486074619023 0.0681796045582936 0.038109756097561 0.0860719874804382 0.223782699282352 0.130404253184873 0.218793182865039 0.0790097445351593 0.417906219011191 0.0258866166192079 0.0197180321403924 0.0599520383693046 0.0666666666666667 0.057365764111978 0.0312858483679216 0.0378250591016548 0.0347270454229754 0.0860914482494739
"вдруг" 0 0.140129619898406 0.0389597740333106 0.228658536585366 0.109546165884194 0.0154332896056795 0.0200621927976728 0.0115154306771073 0.00877886050390659 0.00708315625442697 0.0906031581672275 0.157744257123139 0.0599520383693046 0.0888888888888889 0.18357044515833 0.104286161226405 0.217494089834515 0.305597999722184 0.105222881193801
"будет" 0.165380374862183 0.140129619898406 0.204538813674881 0.238185975609756 0.0312989045383412 0.0385832240141986 0.0100310963988364 0.0806080147397513 0.0263365815117198 0.0708315625442697 0.0388299249288118 0.197180321403924 0.149880095923261 0.111111111111111 0.160624139513538 0.0730003128584837 0.066193853427896 0.118071954438116 0.0956571647216377
